age,policy_number,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
48,630226,500,1411.43,MALE,Masters,armed-forces,own-child,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,1,YES,2,1,NO,59400,5940,11880,41580,N
43,171254,2000,1512.58,FEMALE,College,sales,other-relative,47600,0,Vehicle Theft,None,Minor Damage,Police,SC,Arlington,1,None,1,1,None,2520,280,280,1960,N
31,247116,2000,1153.35,MALE,PhD,craft-repair,not-in-family,0,0,Vehicle Theft,None,Trivial Damage,Police,NY,Hillsdale,1,NO,2,1,YES,5760,960,960,3840,N
49,505969,500,1722.95,MALE,PhD,transport-moving,not-in-family,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,1,None,2,0,YES,76700,7670,7670,61360,N
39,653864,2000,1281.07,FEMALE,High School,protective-serv,unmarried,0,0,Parked Car,None,Trivial Damage,Police,NY,Springfield,1,NO,0,2,NO,5920,740,740,4440,N
62,586367,500,1011.92,MALE,PhD,machine-op-inspct,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,3,YES,0,3,None,64350,7150,7150,50050,N
43,650026,500,1235.1,FEMALE,Masters,tech-support,not-in-family,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,1,NO,2,1,NO,54400,5440,5440,43520,N
32,547744,2000,768.91,FEMALE,College,sales,other-relative,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,1,None,1,0,NO,59800,5980,5980,47840,Y
29,598124,500,1301.72,MALE,Masters,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,3,None,0,3,YES,72000,7200,7200,57600,N
53,739447,500,767.14,MALE,Associate,sales,not-in-family,25500,-36700,Parked Car,None,Trivial Damage,Police,WV,Columbus,1,NO,0,1,NO,8800,1760,880,6160,N
24,427484,2000,1620.89,FEMALE,High School,handlers-cleaners,other-relative,0,0,Vehicle Theft,None,Minor Damage,Police,NC,Hillsdale,1,NO,2,0,NO,6120,1020,1020,4080,N
37,218684,2000,1048.46,MALE,High School,priv-house-serv,not-in-family,59900,0,Vehicle Theft,None,Trivial Damage,None,OH,Columbus,1,None,1,2,None,7080,1180,590,5310,N
50,565564,1000,1538.26,MALE,High School,sales,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,3,YES,2,3,YES,34320,8580,4290,21450,N
43,509928,1000,1279.13,MALE,PhD,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,3,None,1,2,YES,81070,7370,14740,58960,Y
26,593390,2000,924.72,FEMALE,High School,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1,NO,2,2,NO,63120,5260,10520,47340,N
28,970607,1000,1019.44,MALE,Masters,transport-moving,not-in-family,0,-39700,Vehicle Theft,None,Trivial Damage,None,NC,Springfield,1,None,2,1,NO,7200,1440,720,5040,N
43,529398,1000,1515.18,MALE,College,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,3,NO,1,0,NO,60190,9260,9260,41670,N
44,940942,2000,1649.18,MALE,College,farming-fishing,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,1,YES,1,2,YES,61380,11160,5580,44640,Y
49,442677,500,1451.01,FEMALE,College,other-service,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,1,NO,2,2,NO,28100,2810,5620,19670,N
50,365364,1000,978.46,FEMALE,High School,sales,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,1,YES,0,0,NO,49060,8920,8920,31220,N
50,114839,500,1198.34,MALE,Associate,sales,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,3,None,1,1,NO,57060,6340,6340,44380,N
38,872734,2000,1003.23,FEMALE,Associate,tech-support,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,3,None,0,3,YES,77880,12980,12980,51920,N
41,267885,2000,1212.0,MALE,Masters,exec-managerial,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,1,YES,0,1,YES,73500,7350,14700,51450,N
52,740505,1000,1242.96,FEMALE,High School,other-service,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,2,YES,2,0,None,88920,6840,13680,68400,N
52,629663,1000,1053.02,FEMALE,Associate,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,1,None,0,2,NO,47630,12990,4330,30310,Y
34,405533,1000,1083.72,FEMALE,High School,machine-op-inspct,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,1,NO,0,2,YES,53680,4880,4880,43920,N
42,511621,500,1072.62,FEMALE,Masters,machine-op-inspct,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,4,None,2,1,YES,69100,6910,6910,55280,N
54,492745,2000,1506.21,MALE,Masters,transport-moving,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,3,NO,1,0,None,76560,12760,6380,57420,N
41,280709,2000,1608.34,FEMALE,Associate,farming-fishing,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,1,None,1,1,None,71060,6460,12920,51680,N
37,898573,1000,1728.56,FEMALE,Masters,farming-fishing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,1,YES,1,1,None,38830,3530,3530,31770,N
38,600845,2000,1540.19,FEMALE,College,adm-clerical,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,1,YES,2,0,NO,73700,7370,7370,58960,Y
36,629918,2000,1278.75,FEMALE,College,tech-support,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,3,None,2,2,NO,65400,10900,10900,43600,N
28,208298,1000,773.99,MALE,Associate,armed-forces,other-relative,0,-70300,Vehicle Theft,None,Trivial Damage,None,PA,Springfield,1,YES,1,2,NO,3200,640,320,2240,N
51,513099,1000,1532.47,FEMALE,Associate,tech-support,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,1,YES,0,3,YES,75400,7540,15080,52780,Y
27,326322,1000,433.33,MALE,Masters,machine-op-inspct,other-relative,25900,0,Parked Car,None,Minor Damage,None,SC,Hillsdale,1,None,0,3,NO,5900,1180,590,4130,N
30,146138,2000,1025.54,FEMALE,High School,armed-forces,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1,None,1,3,YES,64100,6410,6410,51280,N
28,336047,500,1264.77,FEMALE,Associate,transport-moving,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,2,YES,0,1,None,55440,5040,10080,40320,Y
40,118137,500,1238.65,FEMALE,High School,transport-moving,husband,0,-44600,Vehicle Theft,None,Trivial Damage,Police,WV,Springfield,1,YES,1,1,NO,7480,680,680,6120,N
61,212674,500,1050.76,MALE,PhD,transport-moving,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,1,None,2,3,NO,53640,5960,5960,41720,Y
57,737593,500,865.33,FEMALE,High School,farming-fishing,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,3,NO,0,1,None,59040,9840,9840,39360,N
36,812025,500,1153.49,MALE,Associate,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,3,YES,1,0,YES,50500,10100,5050,35350,N
43,168151,2000,1281.25,MALE,Associate,machine-op-inspct,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,1,YES,0,1,NO,57690,6410,12820,38460,Y
30,843227,2000,1443.32,FEMALE,PhD,exec-managerial,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,3,None,0,2,YES,47790,5310,5310,37170,Y
29,283925,1000,1629.94,FEMALE,Masters,priv-house-serv,other-relative,0,-47100,Parked Car,None,Trivial Damage,None,SC,Riverwood,1,None,0,1,NO,3850,350,350,3150,N
31,475588,2000,1134.08,MALE,PhD,other-service,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,1,None,2,0,None,59000,5900,5900,47200,Y
43,751905,500,1483.91,MALE,College,machine-op-inspct,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,3,NO,0,1,None,70600,7060,14120,49420,Y
40,226725,2000,1304.67,MALE,Masters,armed-forces,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,3,None,1,1,None,61490,5590,11180,44720,N
57,395572,500,1401.2,FEMALE,High School,craft-repair,own-child,51500,0,Vehicle Theft,None,Trivial Damage,Police,NC,Hillsdale,1,NO,1,0,NO,6890,1060,1060,4770,N
37,277767,500,1080.13,MALE,Associate,protective-serv,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,3,YES,0,3,NO,41490,4610,4610,32270,N
36,842618,2000,1346.18,FEMALE,Associate,machine-op-inspct,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3,YES,2,3,YES,68970,12540,6270,50160,N
55,577810,2000,1589.54,MALE,College,handlers-cleaners,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,3,None,2,0,YES,85300,17060,8530,59710,N
40,873114,1000,1251.65,FEMALE,Associate,other-service,wife,71200,0,Parked Car,None,Minor Damage,None,NY,Hillsdale,1,NO,0,0,NO,3080,560,280,2240,N
39,522506,2000,1399.85,FEMALE,Masters,other-service,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,3,NO,0,2,None,64920,10820,10820,43280,N
43,367595,500,1307.74,FEMALE,Associate,machine-op-inspct,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,3,None,0,1,NO,37530,4170,4170,29190,N
42,586104,2000,1219.27,MALE,Associate,tech-support,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,3,YES,1,2,NO,64080,7120,7120,49840,N
41,424862,500,1411.3,MALE,PhD,prof-specialty,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,1,NO,1,0,None,60390,10980,5490,43920,Y
38,356768,500,1006.77,FEMALE,College,other-service,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3,YES,2,1,YES,70900,14180,7090,49630,N
33,779075,1000,1348.32,FEMALE,Associate,craft-repair,wife,37600,-37600,Vehicle Theft,None,Trivial Damage,Police,NY,Arlington,1,NO,2,1,None,4730,860,860,3010,Y
40,799501,2000,1315.56,FEMALE,PhD,transport-moving,not-in-family,0,0,Vehicle Theft,None,Minor Damage,Police,SC,Northbrook,1,YES,0,0,YES,6820,1240,1240,4340,N
58,987905,2000,1407.01,MALE,PhD,tech-support,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,1,None,0,2,None,59900,11980,5990,41930,Y
33,830414,500,1310.76,FEMALE,High School,adm-clerical,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,1,YES,0,1,None,70290,12780,6390,51120,N
40,786957,500,1134.91,FEMALE,Associate,transport-moving,not-in-family,68700,0,Vehicle Theft,None,Trivial Damage,None,SC,Riverwood,1,None,1,0,NO,6400,640,640,5120,N
39,448642,1000,1248.25,FEMALE,College,sales,own-child,0,-33300,Parked Car,None,Minor Damage,Police,VA,Northbrook,1,NO,0,2,None,8760,1460,1460,5840,N
42,526039,500,1338.54,MALE,Associate,machine-op-inspct,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,1,YES,0,1,None,94160,8560,17120,68480,N
40,444422,2000,782.23,MALE,College,protective-serv,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,3,None,0,2,NO,51570,5730,11460,34380,N
31,689500,2000,1366.9,FEMALE,High School,handlers-cleaners,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3,None,1,0,NO,52700,10540,10540,31620,Y
34,806081,1000,1275.81,MALE,High School,sales,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,1,YES,2,2,None,101010,15540,15540,69930,N
37,384618,500,1090.65,MALE,High School,exec-managerial,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,4,None,1,2,YES,53400,5340,5340,42720,Y
31,756459,500,1326.0,FEMALE,Associate,prof-specialty,wife,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,1,None,1,2,NO,72120,12020,12020,48080,N
43,655787,2000,972.47,MALE,College,protective-serv,wife,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,3,YES,2,2,YES,77100,7710,15420,53970,N
39,419954,500,806.31,FEMALE,College,handlers-cleaners,wife,0,0,Parked Car,None,Trivial Damage,Police,SC,Northbend,1,None,2,3,None,3300,600,0,2700,N
27,515698,2000,1097.64,MALE,High School,transport-moving,other-relative,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,2,NO,1,0,None,63720,7080,21240,35400,N
43,132871,500,947.75,FEMALE,Masters,farming-fishing,not-in-family,0,-39300,Vehicle Theft,None,Trivial Damage,Police,SC,Riverwood,1,NO,1,3,NO,7680,1280,640,5760,N
31,714929,2000,1018.73,MALE,Associate,handlers-cleaners,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,3,YES,1,2,None,93730,14420,21630,57680,N
44,297816,2000,1400.74,MALE,College,sales,other-relative,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,3,YES,0,2,None,87300,17460,17460,52380,N
47,615047,500,1386.93,MALE,High School,priv-house-serv,husband,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,3,YES,0,0,NO,65800,13160,6580,46060,N
29,235869,500,1239.55,FEMALE,PhD,farming-fishing,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,1,None,1,1,YES,52800,4800,9600,38400,Y
37,931625,500,1366.42,FEMALE,Associate,protective-serv,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,3,NO,1,2,YES,59100,5910,5910,47280,Y
37,371635,1000,1086.48,MALE,Associate,machine-op-inspct,unmarried,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,3,None,1,1,YES,77440,14080,7040,56320,N
36,427199,2000,1247.87,MALE,Masters,armed-forces,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,3,NO,2,2,NO,45700,4570,4570,36560,N
41,261315,2000,1312.75,FEMALE,PhD,sales,other-relative,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,3,NO,2,2,YES,80740,7340,14680,58720,Y
33,278091,2000,1327.41,FEMALE,Associate,handlers-cleaners,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,1,None,0,0,None,35000,3500,7000,24500,N
59,153154,1000,1338.55,MALE,PhD,protective-serv,own-child,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,3,None,2,2,NO,68000,13600,6800,47600,N
30,515217,2000,1316.63,FEMALE,Masters,machine-op-inspct,unmarried,43900,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3,YES,2,0,None,84500,13000,13000,58500,N
46,351741,1000,1372.18,MALE,High School,exec-managerial,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,3,NO,1,3,None,90600,15100,15100,60400,N
45,403737,2000,1447.77,FEMALE,Associate,adm-clerical,wife,39400,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,3,YES,1,1,None,64320,5360,10720,48240,N
33,162004,500,903.32,FEMALE,High School,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,3,None,1,0,None,31700,6340,3170,22190,N
30,740384,1000,1454.42,MALE,Associate,protective-serv,other-relative,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,1,YES,0,1,YES,74280,12380,12380,49520,Y
37,876714,2000,1603.42,FEMALE,High School,sales,wife,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,1,YES,0,2,YES,80520,13420,6710,60390,N
44,576723,500,1611.83,MALE,High School,handlers-cleaners,husband,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,1,None,1,2,YES,32800,3280,3280,26240,N
50,391003,500,889.13,FEMALE,Masters,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,3,NO,0,2,NO,44190,9820,4910,29460,N
26,225865,1000,1252.08,MALE,College,exec-managerial,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,2,YES,2,2,NO,50400,10080,5040,35280,Y
49,890328,2000,1347.92,FEMALE,High School,farming-fishing,own-child,0,-42100,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,3,YES,0,2,None,66550,12100,6050,48400,N
47,803294,1000,1724.09,MALE,PhD,craft-repair,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,3,YES,0,0,None,65780,5980,11960,47840,N
31,414519,1000,1554.64,MALE,PhD,protective-serv,own-child,0,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,1,NO,1,0,NO,55660,5060,10120,40480,Y
28,818413,1000,1377.94,MALE,Masters,machine-op-inspct,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,1,None,2,3,None,44640,9920,4960,29760,N
46,487356,2000,1313.33,FEMALE,PhD,transport-moving,husband,53500,-73600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,3,None,1,3,NO,77660,7060,14120,56480,Y
30,406567,500,1399.27,MALE,College,prof-specialty,wife,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,1,None,0,0,YES,53440,0,6680,46760,N
39,935442,500,1365.46,MALE,College,armed-forces,unmarried,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,3,NO,2,1,NO,44280,4920,4920,34440,N
37,106873,1000,894.4,MALE,Associate,tech-support,wife,0,-53700,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,1,YES,2,0,NO,70290,7810,7810,54670,N
30,563878,500,956.69,FEMALE,Associate,priv-house-serv,husband,39600,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,1,None,1,1,YES,87100,8710,8710,69680,N
42,337677,2000,1437.33,FEMALE,Associate,craft-repair,wife,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,1,YES,1,3,NO,70400,12800,12800,44800,N
26,445973,1000,988.29,MALE,College,armed-forces,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,1,None,2,2,YES,57860,0,10520,47340,Y
47,156694,500,1238.89,MALE,Masters,protective-serv,other-relative,0,0,Vehicle Theft,None,Minor Damage,None,WV,Northbend,1,None,0,3,NO,6240,960,960,4320,N
38,421940,1000,1384.64,FEMALE,Associate,tech-support,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,1,None,2,3,NO,66600,16650,11100,38850,Y
28,613226,2000,1595.07,MALE,PhD,transport-moving,unmarried,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,1,YES,0,2,YES,70920,11820,11820,47280,N
56,804410,1000,1127.89,MALE,Associate,machine-op-inspct,own-child,67400,-43800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,1,YES,2,0,YES,39480,6580,6580,26320,N
43,553565,2000,929.7,FEMALE,PhD,handlers-cleaners,husband,46400,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,1,None,2,2,YES,63240,10540,5270,47430,N
44,701521,2000,1030.95,FEMALE,Associate,machine-op-inspct,other-relative,47200,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,3,None,1,0,NO,35900,7180,3590,25130,Y
26,360770,500,1285.03,FEMALE,High School,craft-repair,unmarried,0,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,1,NO,1,3,None,52200,5220,10440,36540,N
57,958785,500,1216.56,MALE,Masters,adm-clerical,own-child,67400,-83200,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,1,None,0,2,NO,78000,6500,13000,58500,N
27,797934,2000,966.26,FEMALE,High School,adm-clerical,own-child,56400,-32800,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,3,YES,0,0,None,67200,6720,6720,53760,N
28,435784,1000,1573.93,MALE,College,other-service,other-relative,30400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Springfield,3,YES,0,2,None,65040,10840,10840,43360,N
33,563837,1000,1609.67,MALE,College,adm-clerical,wife,0,-13200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Springfield,1,None,1,3,None,82800,20700,13800,48300,Y
44,200827,500,1097.57,MALE,PhD,priv-house-serv,unmarried,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,1,NO,1,0,YES,61700,6170,6170,49360,N
61,533941,2000,1618.65,FEMALE,Associate,transport-moving,unmarried,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,OH,Columbus,3,YES,2,1,YES,78100,15620,7810,54670,Y
24,265026,500,922.67,FEMALE,College,priv-house-serv,other-relative,47400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbend,3,YES,2,1,None,65520,9360,9360,46800,Y
41,566720,500,1195.01,FEMALE,Associate,sales,own-child,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Northbend,3,NO,0,2,None,42700,0,6100,36600,Y
46,832746,1000,994.74,FEMALE,High School,adm-clerical,own-child,0,-55300,Parked Car,None,Minor Damage,Police,SC,Hillsdale,1,NO,2,2,YES,5580,620,620,4340,Y
31,386690,1000,1050.24,FEMALE,Masters,adm-clerical,wife,30700,0,Parked Car,None,Minor Damage,None,NC,Arlington,1,None,0,0,NO,3600,360,720,2520,Y
36,979285,2000,1313.51,FEMALE,Masters,exec-managerial,own-child,68500,0,Vehicle Theft,None,Trivial Damage,None,SC,Northbrook,1,None,2,0,None,2800,280,280,2240,N
47,594722,2000,1102.29,FEMALE,Associate,adm-clerical,own-child,73000,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Northbend,1,NO,1,0,YES,54000,6000,6000,42000,N
47,369048,500,1527.95,MALE,PhD,exec-managerial,other-relative,69400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Northbend,4,YES,0,1,None,77800,15560,15560,46680,N
57,514424,1000,1366.39,MALE,High School,protective-serv,other-relative,0,-22400,Multi-vehicle Collision,Front Collision,Major Damage,Other,NC,Columbus,3,YES,2,1,NO,52560,11680,5840,35040,N
41,954191,1000,1403.9,FEMALE,PhD,farming-fishing,own-child,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Riverwood,2,None,1,2,YES,44110,4010,8020,32080,N
30,150181,2000,927.23,FEMALE,PhD,sales,husband,51500,0,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Hillsdale,1,NO,1,3,None,74360,13520,6760,54080,N
53,457244,2000,736.07,MALE,College,transport-moving,unmarried,45700,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,4,None,0,0,YES,62280,5190,10380,46710,N
44,206667,1000,974.16,FEMALE,Masters,sales,other-relative,0,-56800,Multi-vehicle Collision,Front Collision,Total Loss,Other,NY,Springfield,3,None,1,0,YES,26730,4860,4860,17010,N
29,745200,500,973.8,FEMALE,Associate,craft-repair,own-child,0,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,1,None,1,0,NO,66200,6620,6620,52960,N
32,347984,2000,617.11,MALE,College,other-service,other-relative,0,-54100,Multi-vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,3,None,1,2,NO,50800,10160,5080,35560,Y
41,626074,2000,1724.46,FEMALE,Associate,craft-repair,own-child,81800,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,3,None,1,3,None,44200,4420,4420,35360,N
34,218109,500,1161.31,FEMALE,PhD,exec-managerial,other-relative,64800,-24300,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Springfield,1,YES,1,3,None,62920,11440,5720,45760,N
29,999435,2000,1091.73,MALE,PhD,exec-managerial,not-in-family,36100,-42300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,3,None,0,2,YES,49950,5550,5550,38850,Y
41,500384,2000,1241.04,FEMALE,Masters,protective-serv,own-child,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Riverwood,1,NO,2,2,YES,100210,18220,18220,63770,N
30,903785,500,1757.21,MALE,High School,prof-specialty,wife,46400,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Northbend,3,NO,1,0,YES,49140,5460,5460,38220,N
38,873859,1000,802.24,FEMALE,College,other-service,not-in-family,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Northbrook,1,NO,0,1,None,66840,16710,5570,44560,N
21,204294,1000,1342.72,MALE,Associate,machine-op-inspct,wife,0,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Hillsdale,1,None,1,2,None,62460,6940,6940,48580,N
48,751612,1000,1464.73,MALE,PhD,exec-managerial,other-relative,54900,-36700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Arlington,3,None,0,0,NO,51480,5720,5720,40040,N
36,876680,1000,1118.58,FEMALE,High School,prof-specialty,husband,0,-36600,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NY,Columbus,3,NO,2,1,NO,51700,5170,10340,36190,N
31,121439,500,1257.83,MALE,High School,farming-fishing,own-child,40700,-41600,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,4,NO,2,2,NO,47700,4770,9540,33390,Y
31,411289,2000,1082.72,FEMALE,PhD,machine-op-inspct,not-in-family,61400,-57500,Vehicle Theft,None,Minor Damage,None,SC,Northbend,1,YES,2,0,NO,5220,580,580,4060,N
